UID,Title_Director_Actors,Title,Series_or_Movie,Genres_all,Primary G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Genre count,Country_Availability,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,Country count,Languages,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,Language count,Director,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,Director count,Actors,A2,A3,A4,Actor count,Biography,Crime,Action,Comedy,Documentary,Drama,Adventure,Animation,Horror,Mystery,Sci-Fi,Thriller,Family,Fantasy,Adult,Talk-Show,Romance,Music,Musical,Western,Sport,War,History,News,Germany,Singapore,Thailand,Lithuania,Argentina,France,Hong Kong,Australia,Poland,Slovakia,Israel,South Africa,Japan,Sweden,Canada,Greece,Italy,Belgium,Brazil,United States,Russia,United Kingdom,Portugal,South Korea,Hungary,Romania,Switzerland,India,Czech Republic,Mexico,Spain,Turkey,Iceland,Netherlands,Malaysia,Colombia,Runtime,Under 30 mins,30-60 mins,1-2 hours,Over 2 hours,View_Rating,IMDb_Score,Rotten_Tomatoes_Score,Metacritic_Score,Awards_Received,Awards_Nominated_For,Boxoffice,Release_Date,Netflix_Release_Date,Production
45,"12 Monkeys_Terry Gilliam_Bruce Willis, Jon Seda, Michael Chance, Joseph Melito",12 Monkeys,Movie,"Mystery,Sci-Fi,Thriller",Mystery,Sci-Fi,Thriller,,,,,,,,,,3,Japan,Canada,Italy,Spain,Belgium,Portugal,Netherlands,Australia,Mexico,Argentina,Brazil,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,12,English,French,,,,,,,,,,,,,2,Terry Gilliam,,,,,,,,,,,,,1,Bruce Willis,Jon Seda,Michael Chance,Joseph Melito,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,4,0,0,0,1,R,8,89,74,10,25,57141459,5-Jan-96,14/4/2015,Universal Pictures
50,"12 Years a Slave_Steve McQueen_Dickie Gravois, Bryan Batt, Dwight Henry, Chiwetel Ejiofor",12 Years a Slave,Movie,"Biography,Drama,History",Biography,Drama,History,,,,,,,,,,3,Romania,Hong Kong,United Kingdom,Japan,Hungary,Czech Republic,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,English,,,,,,,,,,,,,,1,Steve McQueen,,,,,,,,,,,,,1,Dickie Gravois,Bryan Batt,Dwight Henry,Chiwetel Ejiofor,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,R,8.1,95,96,242,335,56671993,8-Nov-13,14/4/2015,"River Road, New Regency Pictures, Plan B Entertainment"
52,"127 Hours_Danny Boyle_Sean Bott, Kate Mara, Amber Tamblyn, James Franco",127 Hours,Movie,"Adventure,Biography,Drama,Thriller",Adventure,Biography,Drama,Thriller,,,,,,,,,4,South Korea,Switzerland,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,English,Italian,,,,,,,,,,,,,2,Danny Boyle,,,,,,,,,,,,,1,Sean Bott,Kate Mara,Amber Tamblyn,James Franco,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,R,7.5,93,82,23,150,18335230,28-Jan-11,15/2/2017,"Darlow Smithson Productions, Cloud Eight"
53,"12:08 East of Bucharest_Corneliu Porumboiu_Teodor Corban, Mircea Andreescu, Mirela Cioaba, Ion Sapdaru",12:08 East of Bucharest,Movie,"Comedy,Drama",Comedy,Drama,,,,,,,,,,,2,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Romanian,,,,,,,,,,,,,,1,Corneliu Porumboiu,,,,,,,,,,,,,1,Teodor Corban,Mircea Andreescu,Mirela Cioaba,Ion Sapdaru,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,Unrated,7.4,96,77,12,13,91881,29-Sep-06,10/12/2019,
71,"17 Again_Burr Steers_Thomas Lennon, Zac Efron, Leslie Mann, Matthew Perry",17 Again,Movie,"Comedy,Drama,Fantasy,Romance,Sport",Comedy,Drama,Fantasy,Romance,Sport,,,,,,,,5,Russia,Japan,Canada,Israel,Australia,United States,Germany,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,English,,,,,,,,,,,,,,1,Burr Steers,,,,,,,,,,,,,1,Thomas Lennon,Zac Efron,Leslie Mann,Matthew Perry,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,PG-13,6.4,56,48,3,5,64167069,17-Apr-09,14/4/2015,Offspring Entertainment
77,"1917_Sam Mendes_George MacKay, Dean-Charles Chapman, Daniel Mays, Colin Firth",1917,Movie,"Drama,Thriller,War",Drama,Thriller,War,,,,,,,,,,3,Czech Republic,Slovakia,Hungary,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,English,French,German,,,,,,,,,,,,3,Sam Mendes,,,,,,,,,,,,,1,George MacKay,Dean-Charles Chapman,Daniel Mays,Colin Firth,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,R,8.3,89,78,123,180,159227644,10-Jan-20,1/11/2020,"Amblin Entertainment, Neal Street Productions"
81,"1945_Ferenc Török_Péter Rudolf, Tamás Szabó Kimmel, Dóra Sztarenki, Bence Tasnádi",1945,Movie,Drama,Drama,,,,,,,,,,,,1,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hungarian,Russian,,,,,,,,,,,,,2,Ferenc Török,,,,,,,,,,,,,1,Péter Rudolf,Tamás Szabó Kimmel,Dóra Sztarenki,Bence Tasnádi,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,,7.1,97,73,7,5,1006193,1-Nov-17,15/1/2020,"Katapult Film, Kataskop Film"
84,"1991_Ricardo Trogi_Claudio Colangelo, Jean-Carl Boucher, Sandrine Bisson, Juliette Gosselin",1991,Movie,Comedy,Comedy,,,,,,,,,,,,1,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,French,Italian,English,German,Greek,Spanish,,,,,,,,,6,Ricardo Trogi,,,,,,,,,,,,,1,Claudio Colangelo,Jean-Carl Boucher,Sandrine Bisson,Juliette Gosselin,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,,7.1,,,7,15,2342264,27-Jul-18,28/11/2020,
88,"2 Fast 2 Furious_John Singleton_Eva Mendes, Cole Hauser, Tyrese Gibson, Paul Walker",2 Fast 2 Furious,Movie,"Action,Crime,Thriller",Action,Crime,Thriller,,,,,,,,,,3,Japan,South Korea,Romania,Russia,Hungary,Lithuania,Portugal,Belgium,France,Iceland,South Africa,Switzerland,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,India,Argentina,Greece,Slovakia,Sweden,Turkey,Mexico,Colombia,,,,,,,,29,English,Spanish,,,,,,,,,,,,,2,John Singleton,,,,,,,,,,,,,1,Eva Mendes,Cole Hauser,Tyrese Gibson,Paul Walker,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,0,0,1,0,PG-13,5.9,36,38,4,13,127154901,6-Jun-03,14/4/2015,Universal/Universal Int
93,"2 дня_James Cameron_Arnold Schwarzenegger, Robert Patrick, Linda Hamilton, Edward Furlong",2 дня,Movie,"Action,Sci-Fi",Action,Sci-Fi,,,,,,,,,,,2,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,English,Spanish,,,,,,,,,,,,,2,James Cameron,,,,,,,,,,,,,1,Arnold Schwarzenegger,Robert Patrick,Linda Hamilton,Edward Furlong,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,R,8.5,93,75,36,33,205881154,3-Jul-91,4/11/2020,"Lightstorm Entertainment, Carolco Pictures Inc., Pacific Western"
